arch_id,generation,val_accuracy,param_count,flops,latency
84b65b427e703312,0,0.3024,22922,26313344,0.0
ac0b47c0a84bcb76,0,0.384,26858,14877312,0.0
ae21375090501c7e,0,0.49,79082,33030784,0.0
a3dbd21f444385b8,0,0.3754,253066,516686464,0.0
d300328c043ece9e,0,0.3798,34554,22446400,0.0
53be88741e9d0039,0,0.3616,109322,183763264,0.0
f27dc337145f5e3d,0,0.3046,11162,21333248,0.0
ed8aa74f3455cc0f,0,0.3162,106282,57346560,0.0
ae21375090501c7e,1,0.4946,79082,33030784,0.0
ac0b47c0a84bcb76,1,0.3856,26858,14877312,0.0
f27dc337145f5e3d,1,0.3016,11162,21333248,0.0
27209cc0c3356b1d,1,0.3114,10394,19760384,0.0
6f730b141cd8ff13,1,0.4856,79082,33030784,0.0
1180e1e8038139c2,1,0.3344,48922,21407744,0.0
82f3fce74ec98490,1,0.5014,52554,18154112,0.0
4b707f0844df4fae,1,0.4634,84266,33040896,0.9982585906982422
82f3fce74ec98490,2,0.4914,52554,18154112,0.0
ac0b47c0a84bcb76,2,0.393,26858,14877312,0.0
27209cc0c3356b1d,2,0.322,10394,19760384,0.0
52dfac4b4f63d02e,2,0.3176,19354,19778048,0.0
0600d622c3b22f53,2,0.3794,26858,14877312,0.0
5bfd2489f87b2775,2,0.3546,47322,38634752,0.0
9905e5ccdb375bca,2,0.3822,26858,14877312,0.0
4b08e27e8b5dfb9e,2,0.469,36170,9765504,0.0
82f3fce74ec98490,3,0.4558,52554,18154112,0.9801387786865234
4b08e27e8b5dfb9e,3,0.457,36170,9765504,0.0
27209cc0c3356b1d,3,0.3112,10394,19760384,0.0
f12dd014296d1e86,3,0.4898,36170,9765504,1.0001659393310547
af2fd12268a0d68f,3,0.4182,26922,14877312,0.0
7afa6ab730a8e6b7,3,0.4998,78186,18973312,0.9622573852539062
92edc9353271d1de,3,0.311,10394,19760384,0.0
8b50e68c4b3845eb,3,0.469,54090,21299840,0.0
7afa6ab730a8e6b7,4,0.5356,78186,18973312,0.9996891021728516
f12dd014296d1e86,4,0.4616,36170,9765504,0.9989738464355469
8b50e68c4b3845eb,4,0.4622,54090,21299840,0.9987354278564453
b52cb9a70088c03e,4,0.5396,78154,18973312,0.9992122650146484
c8cc91b194abafea,4,0.445,36170,19595904,1.0001659393310547
b3b521d32f1203eb,4,0.4596,36170,9765504,1.0292530059814453
37c304df9e809bdf,4,0.5016,78186,70582912,0.0
1cc7bdba7cac06e7,4,0.4632,54090,21299840,1.0006427764892578
b52cb9a70088c03e,5,0.5068,78154,18973312,1.0001659393310547
37c304df9e809bdf,5,0.5282,78186,70582912,0.0
f12dd014296d1e86,5,0.4652,36170,9765504,0.0
e770e9feb983c15e,5,0.4844,52522,18154112,0.0
79309c3c07c1ef3f,5,0.5062,88874,70603776,0.9999275207519531
7afa6ab730a8e6b7,5,0.5136,78186,18973312,0.0
62aaf58bb32e86b9,5,0.5192,103818,71402112,0.9992122650146484
19fa75a83674c911,5,0.528,78186,18973312,0.9913444519042969
